time,station,land,year,month
1937.21,-0.22,-0.2,1937,3
1937.29,-0.15,-0.15,1937,4
1937.38,0.04,-0.05,1937,5
1937.46,-0.04,-0.05,1937,6
1937.54,-0.07,-0.03,1937,7
1937.63,0.07,0.01,1937,8
1937.71,0.22,0.09,1937,9
1937.79,0.2,0.09,1937,10
1937.88,0.29,0.08,1937,11
1937.96,0.01,-0.07,1937,12
1938.04,0.13,0.09,1938,1
1938.13,0.14,0.04,1938,2
1938.21,0.25,0.1,1938,3
1938.29,0.34,0.07,1938,4
1938.38,0.12,-0.09,1938,5
1938.46,-0.12,-0.17,1938,6
